,Unnamed: 0,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Community,industry
80,80,GLOBAL COS LLC SOUTH TERMINAL,78,0.79020979021,0.0120876674784,0.545185185185,0.160956634921,12550SNCNC1184R,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
81,81,GLOBAL COS LLC INWOOD TERMINAL,78,0.79020979021,0.0123424944973,0.545185185185,0.166664685092,11696MBLLN464DO,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
82,82,NORTHVILLE INDUSTRIES CORP - HOLTSVILLE TERMINAL,78,0.79020979021,0.0123371065747,0.545185185185,0.166540753481,11747TSCPP586UN,424710,NIC HOLDING CORP,1,Petroleum Bulk Stations and Terminals 
83,83,GLOBAL COS LLC ALBANY TERMINAL,78,0.79020979021,0.0123424944973,0.545185185185,0.166664685092,12202MBLLL50CHU,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
84,84,BP PRODUCTS NA INC BROOKLYN TERMINAL,78,0.79020979021,0.0120876674784,0.545185185185,0.160956634921,11222MCLC0125AP,424710,BP PRODUCTS N.A. INC,1,Petroleum Bulk Stations and Terminals 
85,85,STOLLBERG INC,78,0.80352980353,0.00970246040565,0.536443148688,0.00720769604392,14302STLLB4111W,327999,,4,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
86,86,GLOBAL COS LLC CARGO TERMINAL,78,0.79020979021,0.0123424944973,0.545185185185,0.166664685092,12553WRXTR1096R,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
87,87,GLOBAL COS LLC NEWBURGH TERMINAL,78,0.79020979021,0.0123424944973,0.545185185185,0.166664685092,12553MBLLN1281R,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
88,88,ROSS VALVE MANUFACTURING CO INC,77,0.604237867396,0.0120530814343,0.550074738416,0.0102595483923,12181RSSVL6OAKW,332919,,0,Other Metal Valve and Pipe Fitting Manufacturing 
89,89,POLYSET CO INC,77,0.858168147642,0.00819733041849,0.547619047619,0.0237214341384,12118PLYSTUPPER,325520,,3,Adhesive Manufacturing
90,90,ALLIED AVIATION SERVICE CO OF NEW YORK INC,77,0.798701298701,0.0110129394919,0.544378698225,0.14107945202,11371GDNVTLAGUA,424710,ALLIED AVIATION HOLDING CO,1,Petroleum Bulk Stations and Terminals 
91,91,DUNKIRK SPECIALTY STEEL LLC,76,0.427719298246,0.0229048133981,0.550898203593,0.010646878565,14048DNKRK88HOW,331221,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,4,Rolled Steel Shape Manufacturing 
92,92,RAYMOND CORP,75,0.853333333333,0.00846759799361,0.534107402032,0.00661439359215,13778THRYMWHEEL,333924,THE RAYMOND CORP,4,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing "
93,93,GLOBAL COS LLC GLENWOOD LANDING TERMINAL,75,0.820540540541,0.0105325998328,0.542772861357,0.139688723401,11547MBLLGSHORE,424710,GLOBAL COS LLC,1,Petroleum Bulk Stations and Terminals 
94,94,ARCH CHEMICALS INC,75,0.391711711712,0.0179405455962,0.550898203593,0.0126268736862,14611LNCRP100MC,325199,LONZA,0,All Other Basic Organic Chemical Manufacturing 
95,95,APEX TOOL GROUP LLC - CORTLAND NY OPERATION,75,0.853333333333,0.0084675979936,0.534107402032,0.00661439359215,13045BRWRT45CLE,332111,APEX TOOL GROUP LLC,4,Iron and Steel Forging 
96,96,HUNTLEY GENERATING STATION,75,0.650810810811,0.0123538266126,0.538799414348,0.0177042437382,14150CRHNT3500R,221112,NRG ENERGY INC,0,Fossil Fuel Electric Power Generation 
97,97,AMRI RENSSELAER INC,72,0.741392801252,0.00913401582551,0.549253731343,0.0389368590317,12144STRLN33RIV,325412,,1,Pharmaceutical Preparation Manufacturing 
98,98,NUCOR STEEL AUBURN INC,72,0.62441314554,0.016179865793,0.541176470588,0.0161206208413,13021BRNSTQUARR,331110,NUCOR CORP,0,Iron and Steel Mills and Ferroalloy Manufacturing 
99,99,CHEMPRENE INC,72,0.674100156495,0.0138904306026,0.549253731343,0.0310052408633,12508WTCCH570FI,326220,AMMERAAL BELTECH,1,Rubber and Plastics Hoses and Belting Manufacturing
100,100,INDIUM CORP OF AMERICA,71,0.918712273642,0.0116297991864,0.531024531025,0.00569654562593,13502THNDM1676L,325998,INDIUM CORP OF AMERICA,4,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
101,101,INDIUM CORP OF AMERICA,71,0.918712273642,0.0116297991864,0.531024531025,0.00569654562593,1350WNDMCR111BU,332999,INDIUM CORP OF AMERICA,4,All Other Miscellaneous Fabricated Metal Product Manufacturing 
102,102,INDIUM CORP OF AMERICA,71,0.918712273642,0.0116297991864,0.531024531025,0.00569654562593,13323NDMCR23ROB,332999,INDIUM CORP OF AMERICA,4,All Other Miscellaneous Fabricated Metal Product Manufacturing 
103,103,GRIFFITH ENERGY - PLATTSBURGH,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,12901GRFFT4736R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,3,Petroleum Bulk Stations and Terminals 
104,104,KING ROAD MATERIALS CORDELL ROAD FACILITY,70,1.0,0.00636795772692,0.524964336662,0.033556330231,12303KNGRD145CO,324121,OLDCASTLE INC,3,Asphalt Paving Mixture and Block Manufacturing 
105,105,METAULLICS SYSTEMS A DIV OF PYROTEK-INC,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1413WMTLLC24CRY,335991,PYROTEK INC,3,Carbon and Graphite Product Manufacturing 
106,106,BOWLINE POINT GENERATING STATION,70,1.0,0.00636795772692,0.524964336662,0.033556330231,10993BWLNPSAMSO,221112,NRG ENERGY INC,3,Fossil Fuel Electric Power Generation 
